,Fighter Name,Nickname,Height,Weight,Reach,Stance,Win,Lose,Draw
0,Tom Aaron,,--,155 lbs.,--,,5,3,0
1,Danny Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0
2,Nariman Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0
3,David Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0
4,Hamdy Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0
5,Mansur Abdul-Malik,,--,185 lbs.,--,,5,0,0
6,Shamil Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0
7,Hiroyuki Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3
8,Daichi Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0
9,Papy Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0
10,Ricardo Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0
11,Klidson Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0
12,Cyborg Abreu,,--,--,--,,0,0,0
13,Daniel Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0
14,John Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0
15,Scott Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0
16,Juan Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0
17,Anthony Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0
18,Zarrukh Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0
19,Israel Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,3,0
20,Sam Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2
21,Nick Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0
22,Mariya Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0
23,Kantharaj Agasa,Kannadiga,--,135 lbs.,--,,12,3,0
24,Marcelo Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1
25,Fabio Aguiar,,"6' 0""",185 lbs.,--,,17,1,0
26,Edwin Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0
27,Jessica Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0
28,Kevin Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0
29,Jesus Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,10,2,0
30,Christian Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0
31,Nick Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0
32,Mike Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1
33,Ashiek Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0
34,Hitomi Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0
35,Omari Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1
36,Yoshihiro Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0
37,Rostem Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0
38,Razak Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0
39,Abdul-Kareem Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4,0
40,Mostapha Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0
41,Herdem Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0
42,Javi Alanis,,"5' 6""",135 lbs.,--,,0,4,0
43, Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,16,9,2
44,Amir Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,1,0
45,Brett Albee,,--,225 lbs.,--,,3,2,0
46,John Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0
47,Junior Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0
48,Wes Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0
49,Aleksandra Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0
50,Israel Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0
51,Juan Alcain,,--,--,--,,1,2,0
52,Iuri Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0
53,Ildemar Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0
54,Alfonso Alcarez,,"5' 3""",145 lbs.,--,,1,3,1
55,Gilbert Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0
56,Irene Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,7,0
57,Hector Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0
58,Jose Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1
59,Jose Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,8,0
60,JJ Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,13,6,0
61,Irina Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,2,0
62,Talita Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,5,0,1
63,Jim Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0
64,John Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0
65,Houston Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1
66,Kenneth Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0
67,Lucas Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,4,0
68,Marcio Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0
69,Olaf Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0
70,Pablo Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0
71,Levi Alford,,--,--,--,,1,7,0
72,Bill Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,8,0
73,Royce Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0
74,Amir Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0
75,Sultan Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0
76,Nurullo Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0
77,Ikram Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,15,1,0
78,Leon Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0
79,John Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0
80,George Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2
81,Arnold Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,3,0
82,Brendan Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,24,5,0
83,Daniel Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0
84,Ben Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0
85,Asu Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,19,2,0
86,Bekzat Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,11,2,0
87,John Almanza,The Young Striker,--,125 lbs.,--,,6,0,0
88,Ricardo Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0
89,Magno Almeida,,"6' 0""",155 lbs.,--,,10,3,0
90,Thomas Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0
91,Ericka Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0
92,Estefani Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0
93,Jailton Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,20,3,0
94,Lucas Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,14,3,0
95,Cesar Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,5,0,0
96,Mauricio Alonso,,"6' 2""",170 lbs.,--,,13,7,0
97,Sarah Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0
98,Ali AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0
99,Rico Altamirano,,"5' 10""",170 lbs.,--,,4,3,0
100,Victor Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,4,0
101,Mike Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0
102,Patricia Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0
103,Sean Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0
104,Eddie Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0
105,Jaime Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0
106,Joel Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,20,3,0
107,Thiago Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0
108,Anthony Alves,,--,--,--,,1,4,0
109,Amilcar Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0
110,Warlley Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,7,0
111,Rafael Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0
112,Sam Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1
113,Andre Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1
114,Adlan Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1
115,Maiara Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0
116,Chris Amarante,,--,185 lbs.,--,,2,0,0
117,Jimmy Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1
118,JJ Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0
119,Alen Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0
120,Hyder Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,9,0,0
121,Hamid Amiri,The Storm,--,145 lbs.,--,,9,0,0
122,Makwan Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0
123,Jaqueline Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,8,1,0
124,Bertrand Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0
125,Karl Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2
126,Eryk Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,16,8,0
127,Matt Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1
128,Andy Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0
129,Lowell Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0
130,Corey Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0
131,Derek Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0
132,Megan Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0
133,Liam Anderson,,--,185 lbs.,--,,6,2,0
134,Tatsuya Ando,,--,145 lbs.,--,,13,3,1
135,Alex Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0
136,Jessica Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26,12,0
137,Viscardi Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0
138,Jermaine Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0
139,Juan Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0
140,Fellipe Andrew,,--,--,--,,0,0,0
141,Dylan Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0
142,Reese Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0
143, Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0
144,Julius Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0
145,Collin Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0
146,Chad Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,7,0
147,Yoji Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1
148,Magomed Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,19,1,1
149,Gadzhimurad Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0
150,Adam Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0
151,Angelo Antonio,,--,205 lbs.,--,Orthodox,1,4,0
152,Azunna Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0
153,Shinsho Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0
154,Shinya Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0
155, Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,10,0
156,Josh Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0
157,Erik Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0
158,Kenji Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5
159,Romie Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0
160,Felipe Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1
161,Igor Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0
162,Viviane Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,12,6,0
163,Julio Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0
164,Art Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0
165,Tristan Arenal,,--,155 lbs.,--,,7,4,0
166,Gabriel Arges,,--,170 lbs.,--,,0,0,0
167,Dan Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,2,0
168,Reza Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0
169,Hashem Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0
170,Andrei Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,23,0
171,Garrett Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10,3,0
172,Joey Armstrong,,--,--,--,,5,2,0
173,Austin Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0
174,Ricardo Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0
175,Eli Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0
176,Chalid Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0
177,Akbarh Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1
178,Matt Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0
179,Antonio Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0
180,Gilles Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0
181,Veta Arteaga,,"5' 7""",125 lbs.,--,,3,1,0
182,Cesar Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0
183,Teddy Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0
184,Arman Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1
185,Yanal Ashmouz,Red Fox,"5' 9""",155 lbs.,"68.0""",Orthodox,7,1,0
186, Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0
187,Askar Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0
188,Askar Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1
189,Cyril Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0
190,Khusein Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0
191,Scott Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0
192,Ben Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0
193,Ibo Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77.0""",Orthodox,13,1,0
194,Tom Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,14,3,0
195,Bruno Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0
196,Junior Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0
197,Raphael Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0
198,Bazigit Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0
199,Rich Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0
200,Olivier Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0
201,Pat Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1
202,Jose Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0
203,Marcus Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0
204,David Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0
205,Blas Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0
206,Levi Avera,,"6' 1""",170 lbs.,--,,18,15,0
207,Anthony Avila,,"5' 7""",145 lbs.,--,,13,5,0
208,Chris Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0
209,Julia Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,3,0
210,Saad Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0
211,Javy Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0
212,Jessin Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0
213,Abu Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,4,1
214,Ottman Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,2,0
215,Luiz Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0
216,Luciano Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1
217,Hunter Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0
218,Niklas Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0
219,Seth Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0
220,Abdul Azeem Badakhshi,The Afghan Lion,--,145 lbs.,--,,13,3,0
221,Ryan Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0
222,Izabela Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0
223,Miguel Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,3,0
224,Ali Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0
225,Mehdi Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0
226,Melsik Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,8,2,0
227,Siyar Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1
228,Ignacio Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,15,5,0
229,Bahatebole Batebolati,Lion King,"5' 11""",155 lbs.,"71.0""",Southpaw,8,1,1
230,Shamar Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0
231,Jordan Bailey,,"5' 9""",145 lbs.,--,,6,3,0
232,Scott Baker,,"6' 0""",210 lbs.,--,,1,1,0
233,Bryan Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0
234,Jin Bala,,"5' 9""",155 lbs.,--,,23,3,0
235, Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,23,4,0
236,Oluwale Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0
237,Stephen Banaszak,,"6' 0""",145 lbs.,--,,5,5,0
238,Marcin Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0
239,Humberto Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0
240,Tae Hyun Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0
241,Yohan Banks,,--,--,--,,2,1,0
242,Shauna Bannon,Mama B,"5' 5""",115 lbs.,"65.0""",Switch,5,1,0
243,Antonio Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1
244,Renan Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0
245,Junior Barata,,"5' 10""",170 lbs.,--,Orthodox,9,3,1
246,Maycee Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,14,2,0
247,Bryan Barberena,Bam Bam,"6' 0""",185 lbs.,"72.0""",Southpaw,18,12,0
248,Dione Barbosa,The Witch,"5' 6""",125 lbs.,"66.0""",Orthodox,7,2,0
249,Edson Barboza,Junior,"5' 11""",145 lbs.,"75.0""",Orthodox,24,11,0
250,Raoni Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,18,5,0
251,Daniel Barez,,"5' 6""",125 lbs.,"66.0""",Orthodox,16,6,0
252,Danny Barlow,LeftHand2God,"6' 2""",170 lbs.,"79.0""",Southpaw,8,0,0
253,Luke Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0
254,James Barnes,Mooka,"5' 8""",135 lbs.,"71.0""",Orthodox,14,5,0
255,Nick Barnes,,"5' 11""",170 lbs.,--,,11,2,0
256,Shonte Barnes,Shyne,"5' 11""",185 lbs.,"76.0""",Southpaw,6,2,1
257,Josh Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0
258,Chris Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,23,8,0
259,Chris Barnhizer,,--,--,--,,2,3,0
260,David Baron,,"5' 6""",155 lbs.,--,Switch,17,4,1
261,Phil Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0
262,Dan Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3,1,0
263,Carlos Barreto,,"6' 4""",230 lbs.,--,Orthodox,14,9,0
264,Jose Barreto,,--,185 lbs.,--,Southpaw,0,1,0
265,Peter Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0
266,Marc-Andre Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,16,7,0
267,David Barrios,,"5' 6""",145 lbs.,--,,4,8,0
268,Alexandre Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22,11,0
269,Ricardo Barros,,"6' 1""",205 lbs.,--,,2,2,0
270,Francimar Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0
271,Pat Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0
272,Dean Barry,The Sniper,"5' 10""",170 lbs.,"72.0""",Orthodox,4,2,0
273,Enrique Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2
274,Javid Basharat,The Snow Leopard,"5' 9""",135 lbs.,"69.0""",Orthodox,14,1,0
275,Farid Basharat,Ferocious,"5' 8""",135 lbs.,"71.0""",Orthodox,12,0,0
276,Stephen Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11,2,0
277,Sean Bassett,,--,155 lbs.,--,,0,4,0
278,Ryan Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6,7,0
279,Shayna Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15,11,0
280,Michel Batista,,"6' 3""",260 lbs.,--,Orthodox,4,1,0
281,Bryan Battle,The Butcher,"6' 1""",170 lbs.,"77.0""",Orthodox,11,2,0
282,Alan Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8,3,0
283,Mario Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,14,2,0
284,Chris Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0
285,Donovan Beard,The Highlight Reel,"6' 2""",185 lbs.,"78.0""",Orthodox,7,2,0
286,Rudy Bears,,"5' 11""",170 lbs.,--,Southpaw,16,15,0
287,Salvador Becerra,,"5' 9""",155 lbs.,--,,5,2,0
288,Ariel Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0
289,Jeff Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0
290,Eric Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0
291,Johnny Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1
292,Rolando Bedoya,The Machine,"5' 11""",170 lbs.,"74.0""",Orthodox,14,3,0
293,Chase Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1
294,Lyle Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24,3,0
295,Allan Begosso,Mini,"5' 5""",135 lbs.,"66.0""",Orthodox,7,2,1
296,Mirsad Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0
297,Diana Belbita,The Warrior Princess,"5' 7""",115 lbs.,"68.0""",Orthodox,15,9,0
298,Alan Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0
299,Vitor Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0
300,Yousri Belgaroui,Baby Face Assassin,"6' 5""",185 lbs.,"79.0""",Orthodox,5,3,0
301,Rodolfo Bellato,Trator,"6' 3""",205 lbs.,"77.0""",Orthodox,12,2,0
302,Danilo Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0
303,Joey Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0
304,Marco Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0
305,Joseph Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0
306,Mike Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0
307,Dave Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1
308,Karla Benitez,,"5' 3""",113 lbs.,--,,14,11,1
309,Gabriel Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,23,13,0
310,Charles Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2
311,Josh Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0
312,DeAnna Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1
313,Lance Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0
314,Joe Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0
315,Ryan Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0
316,Pat Benson,,"5' 9""",155 lbs.,--,,3,5,3
317,Len Bentley,,"5' 9""",155 lbs.,--,,10,6,0
