,Fighter Name,Nickname,Height,Weight,Reach,Stance,Win,Lose,Draw
2916,Seth Petruzelli,The Silverback,"6' 0""",205 lbs.,"76.0""",Orthodox,14,8,0
2917,Peter Petties,The Joker,"5' 11""",145 lbs.,"72.0""",Southpaw,5,3,0
2918,Anthony Pettis,Showtime,"5' 10""",155 lbs.,"72.0""",Orthodox,24,10,0
2919,Sergio Pettis,,"5' 6""",125 lbs.,"69.0""",Orthodox,18,5,0
2920,Forrest Petz,The Meat Cleaver,"5' 9""",170 lbs.,"71.0""",Orthodox,26,10,0
2921,Dino Pezao,,--,205 lbs.,--,Orthodox,1,3,0
2922,Cody Pfister,The Fist,"5' 10""",155 lbs.,"73.0""",Orthodox,13,6,1
2923,Nam Phan,,"5' 6""",135 lbs.,"70.0""",Orthodox,21,17,0
2924,Constantinos Philippou,,"5' 11""",185 lbs.,"73.0""",Orthodox,13,5,0
2925,Wayne Phillips,,--,185 lbs.,--,,7,7,0
2926,Dave Phillips,The Rockstar,"6' 0""",185 lbs.,--,Orthodox,13,7,0
2927,Aaron Phillips,The Dragon,"5' 9""",135 lbs.,"71.0""",Southpaw,12,5,0
2928,Elizabeth Phillips,,"5' 6""",135 lbs.,"65.0""",Orthodox,6,6,0
2929,John Phillips,The Welsh Wrecking Machine,"5' 11""",185 lbs.,"75.0""",Southpaw,22,11,0
2930,Kyler Phillips,The Matrix,"5' 8""",135 lbs.,"72.0""",Orthodox,12,2,0
2931,Mario Piazzon,,"5' 9""",265 lbs.,"73.0""",Orthodox,8,0,0
2932,Nick Pica,The Silverback,"5' 10""",185 lbs.,--,,5,1,0
2933,Adam Piccolotti,,"5' 11""",155 lbs.,--,,9,0,0
2934,Vinc Pichel,From Hell,"5' 10""",155 lbs.,"72.0""",Orthodox,14,4,0
2935,Brad Pickett,One Punch,"5' 6""",135 lbs.,"68.0""",Orthodox,25,14,0
2936,Jamie Pickett,The Night Wolf,"6' 2""",185 lbs.,"80.0""",Orthodox,13,11,0
2937,Fabiola Pidroni,The Queen,--,115 lbs.,--,,5,0,0
2938,Oskar Piechota,Imadlo,"6' 0""",185 lbs.,"76.0""",Southpaw,11,3,1
2939,Nick Piedmont,No Limit,"5' 10""",145 lbs.,--,,12,7,1
2940,Mike Pierce,,"5' 8""",170 lbs.,"71.0""",Orthodox,17,7,0
2941,Joao Pierini,,"6' 1""",155 lbs.,--,Switch,4,1,0
2942,Sean Pierson,The Punisher,"6' 0""",170 lbs.,"76.0""",Southpaw,14,6,0
2943,Domingo Pilarte,Son of Fire,"6' 0""",135 lbs.,"73.0""",Southpaw,8,3,0
2944,Paddy Pimblett,The Baddy,"5' 10""",155 lbs.,"73.0""",Orthodox,21,3,0
